"id";"first_number";"operator";"second_number";"answer"
3;"2.0";"-";"6.0";"-4,0"
4;"3.0";"-";"6.0";"-3,0"
5;"1.0";"*";"3.0";"3,0"
6;"2.0";"-";"6.0";"-4,0"
7;"1.0";"/";"3.0";"0,3"
8;"1.0";"*";"3.0";"3,0"
9;"3.0";"*";"6.0";"18,0"
10;"1.0";"*";"3.0";"3,0"
11;"2.0";"*";"6.0";"12,0"
12;"1.0";"*";"6.0";"6,0"
13;"5.0";"+";"7.0";"12,0"
14;"1.0";"-";"6.0";"-5,0"
15;"6.0";"-";"9.0";"-3,0"
16;"2.0";"/";"3.0";"0,7"
17;"5.0";"/";"2.0";"2,5"
18;"5.0";"*";"3.0";"15.0"
19;"5.0";"*";"3.0";"15.0"
20;"15.0";"/";"3.0";"5.0"
21;"5.0";"/";"7.0";"0.7142857142857143"
22;"-0.7142857142857143";"";"3.0";"0.0"
23;"1085.0";"/";"9.0";"120.55555555555556"
24;"120.55555555555556";"/";"7.0";"17.22222222222222"
25;"2.0";"*";"3.0";"6.0"
26;"6.036811";"/";"6.0";"1.0061351666666667"
27;"5.0";"*";"3.0";"15.0"
28;"-2.0";"-";"9.0";"-11.0"
29;"170.0";"-";"60.0";"110.0"
30;"5.0";"*";"3.0";"15.0"
